Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Northern Virginia (us-east4),691C-F431-F86A,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for South Carolina (us-east1),6A71-CA15-8BAD,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Santiago (southamerica-west1),6F69-AD9C-CB5C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Stockholm (europe-north2),6FA2-8CB2-26F5,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Sydney (australia-southeast1),7153-D75A-B5F2,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Jakarta (asia-southeast2),80D1-D13A-D3A1,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Outbound Data Processing for Dammam (me-central2),819D-1B6A-1279,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Columbus (us-east5),8642-13C2-C67C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Tokyo (asia-northeast1),86C9-AD43-1809,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Belgium (europe-west1),8AE2-BE75-D426,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Montréal (northamerica-northeast1),8D8D-CE34-BA5A,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for London (europe-west2),8E85-84A5-943D,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Mumbai (asia-south1),91CC-DEC4-4AC7,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Mumbai (asia-south1),91F1-423B-CF42,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,"1,149",count,1.26,0,-1.26,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Turin (europe-west12),9DB8-72ED-AF1D,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Bangkok (asia-southeast3),9F6C-3799-A39C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Doha (me-central1),9F81-DBF0-4CFE,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Stockholm (europe-north2),A090-2429-7528,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Phoenix (us-west8),A55A-C7DD-DC41,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Frankfurt (europe-west3),A7C2-BF54-1B4B,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Bangkok (asia-southeast3),AE1F-5A9A-FFD8,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Toronto (northamerica-northeast2),B5C2-A60D-E1CC,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,"1,149",count,0.92,0,-0.92,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for London (europe-west2),C44D-AEFB-B6E6,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Milan (europe-west8),C885-1B3A-BF6C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for São Paulo (southamerica-east1),C955-1B6C-2CDA,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Hong Kong (asia-east2),CBD3-34A1-6420,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Phoenix (us-west8),D2FE-8D62-454D,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Delhi (asia-south2),D584-C594-2CF3,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Berlin (europe-west10),D597-998F-F275,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,"1,149",count,1.26,0,-1.26,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Montréal (northamerica-northeast1),DB4F-753D-9167,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Jakarta (asia-southeast2),DD50-16EE-0516,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Oregon (us-west1),E044-80F9-D0C3,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Los Angeles (us-west2),E338-9D01-3876,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for South Carolina (us-east1),E43F-E132-4694,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Paris (europe-west9),E894-0D37-FC03,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Los Angeles (us-west2),EB9B-C1F8-68CB,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Delhi (asia-south2),EDC5-54F7-F517,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Netherlands (europe-west4),EEF0-812C-FB62,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Johannesburg (africa-south1),F232-E90A-C200,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Toronto (northamerica-northeast2),F468-ACDC-268D,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Doha (me-central1),F94A-042C-C415,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Milan (europe-west8),FB1D-9D05-283B,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Northern Virginia (us-east4),FDFC-D3EF-B0A1,0,gibibyte,0,0,0,0,0,0%
App Engine,F17B-412E-CB64,External IP Charge on a Flex Instance,1C15-9E12-944C,277.58,hour,0,0,0,0,0,0%
App Engine,F17B-412E-CB64,Out Bandwidth,37F0-8E44-4CAA,0.012,gibibyte,0,0,0,0,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Storage,5C80-18C6-21C5,0.001,gibibyte month,0,0,0,0,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Small Ops (named databases) Iowa,8462-FB12-13ED,95,count,0,0,0,0,0,0%
Dataplex,51C6-B3F5-9B38,Dataplex Metadata Storage Iowa,5D0E-3A17-3010,0,gibibyte month,0,0,0,-0.000006,0,0%
Compute Engine,6F81-5844-456A,E2 Instance Ram running with free tier discount,2E72-F977-86B9,21.73,gibibyte hour,-0.06,0,0,-0.063518,-0.06,New
Compute Engine,6F81-5844-456A,E2 Instance Core running free tier discount,168E-35F8-9C79,5.432,hour,-0.12,0,0,-0.118468,-0.12,New
